,CPU,CPU,GPU,GPU
,BasicFPRev,FPRev,BasicFPRev,FPRev
4,0.00010053813457489014,6.934348493814468e-05,0.0002630632370710373,0.00013625575229525566
8,0.0002684611827135086,0.00012976350262761116,0.0008927136659622192,0.000367005355656147
16,0.0009085484780371189,0.0002186717465519905,0.0032704900950193405,0.000769550446420908
32,0.0036101057194173336,0.00042261136695742607,0.014612344093620777,0.001098348293453455
64,0.05106211546808481,0.0009788447059690952,0.05604148609563708,0.003005454782396555
128,0.2689049644395709,0.00241599278524518,0.22372861206531525,0.0060469345189630985
256,1.54803029820323,0.013934797141700983,0.9536244608461857,0.013775999192148447
512,,0.24811958661302924,4.885786694008857,0.03886839048936963
1024,,4.086590561550111,,0.11856523435562849
2048,,,,0.9595648190006614
4096,,,,12.762743566185236
